postal.code,district,city,total.pop,females,males,pop.0-2,pop.3-6,pop.7-12,pop.13-15,pop.16-17,pop.18-19,pop.20-24,pop.25-29,pop.30-34,pop.35-39,pop.40-44,pop.45-49,pop.50-54,pop.55-59,pop.60-64,pop.65-69,pop.70-74,pop.75-79,pop.80-84,pop.85.plus,median.income
01640,Hämevaara,Vantaa ,3325,1663,1662,121,172,229,96,77,76,173,217,248,250,211,248,257,244,211,167,123,94,70,41,25245
01650,Vapaala,Vantaa ,4069,2016,2053,119,172,277,132,71,85,256,240,251,286,272,283,305,309,238,256,242,153,71,51,24633
01660,Varisto,Vantaa ,2328,1187,1141,72,94,163,81,62,38,99,130,153,149,167,167,172,162,147,162,147,87,49,27,23602
01670,Vantaanlaakso,Vantaa ,2774,1404,1370,115,131,203,91,56,69,97,144,231,242,195,189,201,170,147,209,153,74,32,25,27012
01680,Askisto,Vantaa ,2096,1049,1047,62,132,195,105,63,63,77,77,116,149,174,184,186,128,122,123,66,43,18,13,26477
01690,Ylästö,Vantaa ,4651,2346,2305,167,322,585,262,151,134,147,99,258,392,462,426,417,222,201,174,114,69,29,20,29425
01700,Kivistö,Vantaa ,6211,3176,3035,303,388,511,180,117,189,667,613,595,544,467,386,320,259,227,160,117,86,51,31,27090
01710,Pähkinärinne,Vantaa ,5106,2606,2500,187,223,309,129,77,95,319,398,421,380,362,305,330,329,312,370,213,152,94,101,23165
01720,Petikko,Vantaa ,63,28,35,1,0,1,2,3,1,0,8,7,2,5,7,12,2,1,5,4,1,1,0,20705
01730,Vantaanpuisto,Vantaa ,2487,1177,1310,83,133,192,92,52,50,129,163,177,179,184,208,146,139,121,123,125,95,64,32,24599
01740,Tuupakan teollisuusalue,Vantaa ,198,90,108,1,5,17,8,2,4,6,5,8,6,21,18,13,20,20,21,5,10,3,5,25797
01750,Keimola,Vantaa ,847,414,433,22,30,89,40,28,23,32,29,36,56,79,82,77,67,48,33,31,30,7,8,26613
01760,Seutula,Vantaa ,2114,1034,1080,63,103,162,97,57,54,64,73,127,120,152,169,213,163,168,105,90,69,37,28,24046
02100,Tapiola,Espoo ,4775,2551,2224,110,172,230,93,60,64,343,472,408,320,247,245,223,229,308,321,284,233,189,224,26729
02110,Otsolahti,Espoo ,2784,1441,1343,92,127,126,49,42,47,170,313,341,215,162,146,119,144,162,152,115,89,75,98,26637
02120,Länsikorkee-Suvikumpu,Espoo ,2823,1466,1357,88,110,151,48,28,41,198,284,292,222,189,143,133,158,133,150,136,123,71,125,25797
02130,Pohjois-Tapiola,Espoo ,6154,3122,3032,222,383,471,218,139,131,305,335,364,470,424,415,407,398,357,351,277,212,133,142,30277
02140,Laajalahti,Espoo ,3753,1864,1889,149,255,356,140,105,97,153,160,227,292,297,319,253,217,211,186,153,94,41,48,29796
02150,Otaniemi,Espoo ,3960,1189,2771,37,33,28,7,7,103,1998,969,362,125,77,35,33,34,30,30,15,17,9,11,10738
02160,Westend,Espoo ,3142,1603,1539,80,154,272,142,93,96,134,92,138,150,251,244,259,201,209,213,149,111,77,77,35386
02170,Haukilahti,Espoo ,5714,2983,2731,170,235,412,229,145,138,263,261,311,327,376,432,459,365,290,343,312,247,198,201,29619
02180,Mankkaa,Espoo ,6818,3511,3307,277,466,692,328,206,182,230,202,361,537,591,526,506,433,411,334,247,137,81,71,32589
02200,Niittykumpu,Espoo ,7836,3990,3846,296,409,509,198,132,145,415,619,648,636,543,497,491,422,405,495,426,270,148,132,27895
02210,Olari,Espoo ,11021,5715,5306,340,504,738,311,214,216,707,715,826,850,709,610,691,640,653,736,700,411,223,227,25148
02230,Matinkylä,Espoo ,20910,10902,10008,769,964,1342,605,417,433,1544,2075,1756,1535,1270,1346,1291,1138,1109,1164,901,589,366,296,23265
02240,Friisilä,Espoo ,2148,1080,1068,57,99,217,106,56,69,96,66,82,125,165,195,190,151,116,139,120,68,18,13,33566
02250,Henttaa,Espoo ,3809,1945,1864,218,303,285,95,65,84,362,415,427,363,282,210,190,153,118,129,67,23,9,11,24011
02260,Kaitaa,Espoo ,3727,1943,1784,119,204,345,167,94,91,176,154,208,262,261,302,326,307,226,186,108,99,57,35,26224
02270,Finnoo-Eestinmalmi,Espoo ,2254,1139,1115,76,125,229,119,63,62,86,68,128,176,178,184,175,155,129,141,65,57,19,19,29005
02280,Malminmäki-Eestinlaakso,Espoo ,4447,2221,2226,233,294,372,188,121,110,194,204,375,380,369,347,376,300,225,157,83,63,29,27,26305
02300,Nöykkiönpuro,Espoo ,2534,1271,1263,71,144,269,136,97,88,106,59,109,138,207,252,243,177,148,117,87,56,17,13,31986
02320,Espoonlahti,Espoo ,16342,8655,7687,530,710,1007,497,306,363,875,991,1173,1143,1035,1054,1099,976,990,1250,1020,629,385,309,23063
02330,Saunalahti-Kattilalaakso,Espoo ,9071,4530,4541,342,661,979,370,228,211,479,441,501,819,850,767,612,509,395,380,285,137,54,51,28711
02340,Latokaski,Espoo ,5018,2549,2469,288,362,515,218,130,105,170,215,357,457,451,364,358,301,220,218,168,69,31,21,27964
02360,Soukka,Espoo ,9757,5004,4753,318,436,692,352,219,227,502,472,613,656,608,730,739,626,597,624,570,428,196,152,24431
02380,Suvisaaristo,Espoo ,640,319,321,10,28,50,37,29,16,16,9,13,27,35,61,74,37,41,65,39,31,13,9,30558
02600,Etelä-Leppävaara,Espoo ,11021,5527,5494,477,609,683,301,229,197,898,1237,1228,1037,730,653,542,493,393,465,370,235,139,105,23607
02610,Kilo,Espoo ,6232,2972,3260,304,399,462,220,142,171,597,621,630,553,438,410,364,298,206,200,88,64,36,29,22548
02620,Karakallio,Espoo ,8397,4361,4036,323,523,775,350,197,185,406,460,576,639,655,617,543,444,346,331,284,287,226,230,24638
02630,Nihtisilta,Espoo ,3418,1727,1691,181,203,264,110,70,69,265,268,296,306,258,215,234,229,175,124,76,33,17,25,25714
02650,Pohjois-Leppävaara,Espoo ,10459,5225,5234,450,510,503,186,127,163,774,1197,1230,923,677,567,610,575,557,500,389,247,165,109,23945
02660,Lintuvaara,Espoo ,6149,3005,3144,227,358,638,307,186,182,427,334,318,493,422,504,482,402,287,217,173,94,63,35,27073
02680,Uusmäki,Espoo ,2471,1290,1181,149,209,222,64,40,39,167,213,266,278,176,151,135,97,68,82,46,29,23,17,27693
02700,Kauniainen,Kauniainen ,9244,4760,4484,198,391,806,443,273,287,567,370,363,455,641,699,733,581,492,492,538,405,273,237,29897
02710,Viherlaakso,Espoo ,6036,3201,2835,196,250,433,177,122,115,287,299,368,409,411,462,430,387,366,343,331,300,170,180,25060
02720,Lähderanta,Espoo ,2981,1520,1461,100,149,234,101,86,87,166,141,193,208,203,198,220,181,173,157,148,102,77,57,25898
02730,Jupperi,Espoo ,4549,2275,2274,102,239,430,234,151,137,175,109,188,231,356,392,418,354,310,218,223,160,64,58,31918
02740,Bemböle-Pakankylä,Espoo ,3173,1640,1533,175,202,304,143,91,77,114,172,258,306,275,264,258,186,128,87,67,34,21,11,26453
02750,Sepänkylä-Kuurinniitty,Espoo ,6196,3084,3112,290,433,618,254,171,153,321,416,516,522,552,479,445,343,235,207,113,70,42,16,27682
02760,Tuomarila-Suvela,Espoo ,14284,7344,6940,724,852,1051,449,278,285,878,1130,1333,1275,1056,914,914,832,744,648,443,246,131,101,22970
02770,Espoon Keskus,Espoo ,10460,5264,5196,394,572,716,345,240,301,941,775,770,731,655,738,756,649,572,476,343,219,133,134,21695
02780,Kauklahti,Espoo ,10143,5066,5077,467,733,1069,447,284,247,537,575,749,887,876,796,683,535,383,314,226,159,93,83,25967
02810,Gumböle-Karhusuo,Espoo ,1665,812,853,59,143,211,93,49,47,46,49,98,152,160,163,120,70,63,72,36,21,7,6,29731
02820,Nupuri-Nuuksio,Espoo ,1437,702,735,40,57,131,68,45,41,48,35,68,69,102,143,136,106,92,96,77,53,15,15,26671
02860,Siikajärvi,Espoo ,659,331,328,7,29,65,32,14,18,20,15,16,37,52,62,68,44,58,39,36,20,15,12,23912
02920,Niipperi,Espoo ,5307,2646,2661,232,399,597,299,178,154,190,178,307,393,491,475,440,263,232,218,118,71,30,42,27310
02940,Lippajärvi-Järvenperä,Espoo ,10212,5157,5055,362,593,950,453,302,259,455,426,611,813,808,819,830,735,575,477,336,216,113,79,26871
02970,Kalajärvi,Espoo ,3664,1784,1880,136,239,363,162,107,92,134,138,170,297,312,316,323,253,180,161,122,66,51,42,26206
02980,Lakisto,Espoo ,351,176,175,2,4,7,9,10,5,15,29,19,18,17,30,50,56,39,16,12,10,3,0,20975
